+------------------------------+------------+----------------+---------------------+
|            Column            | All Values | Missing Values | % of missing values |
+------------------------------+------------+----------------+---------------------+
|       Destination Port       |   225745   |       0        |        0.00%        |
|         Flow Duration        |   225745   |       0        |        0.00%        |
|       Total Fwd Packets      |   225745   |       0        |        0.00%        |
|    Total Backward Packets    |   225745   |       0        |        0.00%        |
| Total Length of Fwd Packets  |   225745   |       0        |        0.00%        |
|  Total Length of Bwd Packets |   225745   |       0        |        0.00%        |
|     Fwd Packet Length Max    |   225745   |       0        |        0.00%        |
|     Fwd Packet Length Min    |   225745   |       0        |        0.00%        |
|    Fwd Packet Length Mean    |   225745   |       0        |        0.00%        |
|     Fwd Packet Length Std    |   225745   |       0        |        0.00%        |
|    Bwd Packet Length Max     |   225745   |       0        |        0.00%        |
|     Bwd Packet Length Min    |   225745   |       0        |        0.00%        |
|    Bwd Packet Length Mean    |   225745   |       0        |        0.00%        |
|     Bwd Packet Length Std    |   225745   |       0        |        0.00%        |
|         Flow Bytes/s         |   225741   |       4        |        0.00%        |
|        Flow Packets/s        |   225745   |       0        |        0.00%        |
|         Flow IAT Mean        |   225745   |       0        |        0.00%        |
|         Flow IAT Std         |   225745   |       0        |        0.00%        |
|         Flow IAT Max         |   225745   |       0        |        0.00%        |
|         Flow IAT Min         |   225745   |       0        |        0.00%        |
|        Fwd IAT Total         |   225745   |       0        |        0.00%        |
|         Fwd IAT Mean         |   225745   |       0        |        0.00%        |
|          Fwd IAT Std         |   225745   |       0        |        0.00%        |
|          Fwd IAT Max         |   225745   |       0        |        0.00%        |
|          Fwd IAT Min         |   225745   |       0        |        0.00%        |
|        Bwd IAT Total         |   225745   |       0        |        0.00%        |
|         Bwd IAT Mean         |   225745   |       0        |        0.00%        |
|          Bwd IAT Std         |   225745   |       0        |        0.00%        |
|          Bwd IAT Max         |   225745   |       0        |        0.00%        |
|          Bwd IAT Min         |   225745   |       0        |        0.00%        |
|        Fwd PSH Flags         |   225745   |       0        |        0.00%        |
|         Bwd PSH Flags        |   225745   |       0        |        0.00%        |
|         Fwd URG Flags        |   225745   |       0        |        0.00%        |
|         Bwd URG Flags        |   225745   |       0        |        0.00%        |
|       Fwd Header Length      |   225745   |       0        |        0.00%        |
|       Bwd Header Length      |   225745   |       0        |        0.00%        |
|        Fwd Packets/s         |   225745   |       0        |        0.00%        |
|         Bwd Packets/s        |   225745   |       0        |        0.00%        |
|       Min Packet Length      |   225745   |       0        |        0.00%        |
|       Max Packet Length      |   225745   |       0        |        0.00%        |
|      Packet Length Mean      |   225745   |       0        |        0.00%        |
|       Packet Length Std      |   225745   |       0        |        0.00%        |
|    Packet Length Variance    |   225745   |       0        |        0.00%        |
|        FIN Flag Count        |   225745   |       0        |        0.00%        |
|        SYN Flag Count        |   225745   |       0        |        0.00%        |
|        RST Flag Count        |   225745   |       0        |        0.00%        |
|        PSH Flag Count        |   225745   |       0        |        0.00%        |
|        ACK Flag Count        |   225745   |       0        |        0.00%        |
|        URG Flag Count        |   225745   |       0        |        0.00%        |
|        CWE Flag Count        |   225745   |       0        |        0.00%        |
|        ECE Flag Count        |   225745   |       0        |        0.00%        |
|         Down/Up Ratio        |   225745   |       0        |        0.00%        |
|      Average Packet Size     |   225745   |       0        |        0.00%        |
|     Avg Fwd Segment Size     |   225745   |       0        |        0.00%        |
|     Avg Bwd Segment Size     |   225745   |       0        |        0.00%        |
|      Fwd Header Length.1     |   225745   |       0        |        0.00%        |
|      Fwd Avg Bytes/Bulk      |   225745   |       0        |        0.00%        |
|     Fwd Avg Packets/Bulk     |   225745   |       0        |        0.00%        |
|       Fwd Avg Bulk Rate      |   225745   |       0        |        0.00%        |
|      Bwd Avg Bytes/Bulk      |   225745   |       0        |        0.00%        |
|     Bwd Avg Packets/Bulk     |   225745   |       0        |        0.00%        |
|      Bwd Avg Bulk Rate       |   225745   |       0        |        0.00%        |
|     Subflow Fwd Packets      |   225745   |       0        |        0.00%        |
|       Subflow Fwd Bytes      |   225745   |       0        |        0.00%        |
|      Subflow Bwd Packets     |   225745   |       0        |        0.00%        |
|       Subflow Bwd Bytes      |   225745   |       0        |        0.00%        |
|    Init_Win_bytes_forward    |   225745   |       0        |        0.00%        |
|    Init_Win_bytes_backward   |   225745   |       0        |        0.00%        |
|       act_data_pkt_fwd       |   225745   |       0        |        0.00%        |
|     min_seg_size_forward     |   225745   |       0        |        0.00%        |
|         Active Mean          |   225745   |       0        |        0.00%        |
|          Active Std          |   225745   |       0        |        0.00%        |
|          Active Max          |   225745   |       0        |        0.00%        |
|          Active Min          |   225745   |       0        |        0.00%        |
|          Idle Mean           |   225745   |       0        |        0.00%        |
|           Idle Std           |   225745   |       0        |        0.00%        |
|           Idle Max           |   225745   |       0        |        0.00%        |
|           Idle Min           |   225745   |       0        |        0.00%        |
|             Label            |   225745   |       0        |        0.00%        |
+------------------------------+------------+----------------+---------------------+
