+------------------------------+------------+----------------+---------------------+
|            Column            | All Values | Missing Values | % of missing values |
+------------------------------+------------+----------------+---------------------+
|       Destination Port       |   170366   |       0        |        0.00%        |
|         Flow Duration        |   170366   |       0        |        0.00%        |
|       Total Fwd Packets      |   170366   |       0        |        0.00%        |
|    Total Backward Packets    |   170366   |       0        |        0.00%        |
| Total Length of Fwd Packets  |   170366   |       0        |        0.00%        |
|  Total Length of Bwd Packets |   170366   |       0        |        0.00%        |
|     Fwd Packet Length Max    |   170366   |       0        |        0.00%        |
|     Fwd Packet Length Min    |   170366   |       0        |        0.00%        |
|    Fwd Packet Length Mean    |   170366   |       0        |        0.00%        |
|     Fwd Packet Length Std    |   170366   |       0        |        0.00%        |
|    Bwd Packet Length Max     |   170366   |       0        |        0.00%        |
|     Bwd Packet Length Min    |   170366   |       0        |        0.00%        |
|    Bwd Packet Length Mean    |   170366   |       0        |        0.00%        |
|     Bwd Packet Length Std    |   170366   |       0        |        0.00%        |
|         Flow Bytes/s         |   170346   |       20       |        0.01%        |
|        Flow Packets/s        |   170366   |       0        |        0.00%        |
|         Flow IAT Mean        |   170366   |       0        |        0.00%        |
|         Flow IAT Std         |   170366   |       0        |        0.00%        |
|         Flow IAT Max         |   170366   |       0        |        0.00%        |
|         Flow IAT Min         |   170366   |       0        |        0.00%        |
|        Fwd IAT Total         |   170366   |       0        |        0.00%        |
|         Fwd IAT Mean         |   170366   |       0        |        0.00%        |
|          Fwd IAT Std         |   170366   |       0        |        0.00%        |
|          Fwd IAT Max         |   170366   |       0        |        0.00%        |
|          Fwd IAT Min         |   170366   |       0        |        0.00%        |
|        Bwd IAT Total         |   170366   |       0        |        0.00%        |
|         Bwd IAT Mean         |   170366   |       0        |        0.00%        |
|          Bwd IAT Std         |   170366   |       0        |        0.00%        |
|          Bwd IAT Max         |   170366   |       0        |        0.00%        |
|          Bwd IAT Min         |   170366   |       0        |        0.00%        |
|        Fwd PSH Flags         |   170366   |       0        |        0.00%        |
|         Bwd PSH Flags        |   170366   |       0        |        0.00%        |
|         Fwd URG Flags        |   170366   |       0        |        0.00%        |
|         Bwd URG Flags        |   170366   |       0        |        0.00%        |
|       Fwd Header Length      |   170366   |       0        |        0.00%        |
|       Bwd Header Length      |   170366   |       0        |        0.00%        |
|        Fwd Packets/s         |   170366   |       0        |        0.00%        |
|         Bwd Packets/s        |   170366   |       0        |        0.00%        |
|       Min Packet Length      |   170366   |       0        |        0.00%        |
|       Max Packet Length      |   170366   |       0        |        0.00%        |
|      Packet Length Mean      |   170366   |       0        |        0.00%        |
|       Packet Length Std      |   170366   |       0        |        0.00%        |
|    Packet Length Variance    |   170366   |       0        |        0.00%        |
|        FIN Flag Count        |   170366   |       0        |        0.00%        |
|        SYN Flag Count        |   170366   |       0        |        0.00%        |
|        RST Flag Count        |   170366   |       0        |        0.00%        |
|        PSH Flag Count        |   170366   |       0        |        0.00%        |
|        ACK Flag Count        |   170366   |       0        |        0.00%        |
|        URG Flag Count        |   170366   |       0        |        0.00%        |
|        CWE Flag Count        |   170366   |       0        |        0.00%        |
|        ECE Flag Count        |   170366   |       0        |        0.00%        |
|         Down/Up Ratio        |   170366   |       0        |        0.00%        |
|      Average Packet Size     |   170366   |       0        |        0.00%        |
|     Avg Fwd Segment Size     |   170366   |       0        |        0.00%        |
|     Avg Bwd Segment Size     |   170366   |       0        |        0.00%        |
|      Fwd Header Length.1     |   170366   |       0        |        0.00%        |
|      Fwd Avg Bytes/Bulk      |   170366   |       0        |        0.00%        |
|     Fwd Avg Packets/Bulk     |   170366   |       0        |        0.00%        |
|       Fwd Avg Bulk Rate      |   170366   |       0        |        0.00%        |
|      Bwd Avg Bytes/Bulk      |   170366   |       0        |        0.00%        |
|     Bwd Avg Packets/Bulk     |   170366   |       0        |        0.00%        |
|      Bwd Avg Bulk Rate       |   170366   |       0        |        0.00%        |
|     Subflow Fwd Packets      |   170366   |       0        |        0.00%        |
|       Subflow Fwd Bytes      |   170366   |       0        |        0.00%        |
|      Subflow Bwd Packets     |   170366   |       0        |        0.00%        |
|       Subflow Bwd Bytes      |   170366   |       0        |        0.00%        |
|    Init_Win_bytes_forward    |   170366   |       0        |        0.00%        |
|    Init_Win_bytes_backward   |   170366   |       0        |        0.00%        |
|       act_data_pkt_fwd       |   170366   |       0        |        0.00%        |
|     min_seg_size_forward     |   170366   |       0        |        0.00%        |
|         Active Mean          |   170366   |       0        |        0.00%        |
|          Active Std          |   170366   |       0        |        0.00%        |
|          Active Max          |   170366   |       0        |        0.00%        |
|          Active Min          |   170366   |       0        |        0.00%        |
|          Idle Mean           |   170366   |       0        |        0.00%        |
|           Idle Std           |   170366   |       0        |        0.00%        |
|           Idle Max           |   170366   |       0        |        0.00%        |
|           Idle Min           |   170366   |       0        |        0.00%        |
|             Label            |   170366   |       0        |        0.00%        |
+------------------------------+------------+----------------+---------------------+
