+------------------------------+------------+----------------+---------------------+
|            Column            | All Values | Missing Values | % of missing values |
+------------------------------+------------+----------------+---------------------+
|       Destination Port       |   445909   |       0        |        0.00%        |
|         Flow Duration        |   445909   |       0        |        0.00%        |
|       Total Fwd Packets      |   445909   |       0        |        0.00%        |
|    Total Backward Packets    |   445909   |       0        |        0.00%        |
| Total Length of Fwd Packets  |   445909   |       0        |        0.00%        |
|  Total Length of Bwd Packets |   445909   |       0        |        0.00%        |
|     Fwd Packet Length Max    |   445909   |       0        |        0.00%        |
|     Fwd Packet Length Min    |   445909   |       0        |        0.00%        |
|    Fwd Packet Length Mean    |   445909   |       0        |        0.00%        |
|     Fwd Packet Length Std    |   445909   |       0        |        0.00%        |
|    Bwd Packet Length Max     |   445909   |       0        |        0.00%        |
|     Bwd Packet Length Min    |   445909   |       0        |        0.00%        |
|    Bwd Packet Length Mean    |   445909   |       0        |        0.00%        |
|     Bwd Packet Length Std    |   445909   |       0        |        0.00%        |
|         Flow Bytes/s         |   445708   |      201       |        0.05%        |
|        Flow Packets/s        |   445909   |       0        |        0.00%        |
|         Flow IAT Mean        |   445909   |       0        |        0.00%        |
|         Flow IAT Std         |   445909   |       0        |        0.00%        |
|         Flow IAT Max         |   445909   |       0        |        0.00%        |
|         Flow IAT Min         |   445909   |       0        |        0.00%        |
|        Fwd IAT Total         |   445909   |       0        |        0.00%        |
|         Fwd IAT Mean         |   445909   |       0        |        0.00%        |
|          Fwd IAT Std         |   445909   |       0        |        0.00%        |
|          Fwd IAT Max         |   445909   |       0        |        0.00%        |
|          Fwd IAT Min         |   445909   |       0        |        0.00%        |
|        Bwd IAT Total         |   445909   |       0        |        0.00%        |
|         Bwd IAT Mean         |   445909   |       0        |        0.00%        |
|          Bwd IAT Std         |   445909   |       0        |        0.00%        |
|          Bwd IAT Max         |   445909   |       0        |        0.00%        |
|          Bwd IAT Min         |   445909   |       0        |        0.00%        |
|        Fwd PSH Flags         |   445909   |       0        |        0.00%        |
|         Bwd PSH Flags        |   445909   |       0        |        0.00%        |
|         Fwd URG Flags        |   445909   |       0        |        0.00%        |
|         Bwd URG Flags        |   445909   |       0        |        0.00%        |
|       Fwd Header Length      |   445909   |       0        |        0.00%        |
|       Bwd Header Length      |   445909   |       0        |        0.00%        |
|        Fwd Packets/s         |   445909   |       0        |        0.00%        |
|         Bwd Packets/s        |   445909   |       0        |        0.00%        |
|       Min Packet Length      |   445909   |       0        |        0.00%        |
|       Max Packet Length      |   445909   |       0        |        0.00%        |
|      Packet Length Mean      |   445909   |       0        |        0.00%        |
|       Packet Length Std      |   445909   |       0        |        0.00%        |
|    Packet Length Variance    |   445909   |       0        |        0.00%        |
|        FIN Flag Count        |   445909   |       0        |        0.00%        |
|        SYN Flag Count        |   445909   |       0        |        0.00%        |
|        RST Flag Count        |   445909   |       0        |        0.00%        |
|        PSH Flag Count        |   445909   |       0        |        0.00%        |
|        ACK Flag Count        |   445909   |       0        |        0.00%        |
|        URG Flag Count        |   445909   |       0        |        0.00%        |
|        CWE Flag Count        |   445909   |       0        |        0.00%        |
|        ECE Flag Count        |   445909   |       0        |        0.00%        |
|         Down/Up Ratio        |   445909   |       0        |        0.00%        |
|      Average Packet Size     |   445909   |       0        |        0.00%        |
|     Avg Fwd Segment Size     |   445909   |       0        |        0.00%        |
|     Avg Bwd Segment Size     |   445909   |       0        |        0.00%        |
|      Fwd Header Length.1     |   445909   |       0        |        0.00%        |
|      Fwd Avg Bytes/Bulk      |   445909   |       0        |        0.00%        |
|     Fwd Avg Packets/Bulk     |   445909   |       0        |        0.00%        |
|       Fwd Avg Bulk Rate      |   445909   |       0        |        0.00%        |
|      Bwd Avg Bytes/Bulk      |   445909   |       0        |        0.00%        |
|     Bwd Avg Packets/Bulk     |   445909   |       0        |        0.00%        |
|      Bwd Avg Bulk Rate       |   445909   |       0        |        0.00%        |
|     Subflow Fwd Packets      |   445909   |       0        |        0.00%        |
|       Subflow Fwd Bytes      |   445909   |       0        |        0.00%        |
|      Subflow Bwd Packets     |   445909   |       0        |        0.00%        |
|       Subflow Bwd Bytes      |   445909   |       0        |        0.00%        |
|    Init_Win_bytes_forward    |   445909   |       0        |        0.00%        |
|    Init_Win_bytes_backward   |   445909   |       0        |        0.00%        |
|       act_data_pkt_fwd       |   445909   |       0        |        0.00%        |
|     min_seg_size_forward     |   445909   |       0        |        0.00%        |
|         Active Mean          |   445909   |       0        |        0.00%        |
|          Active Std          |   445909   |       0        |        0.00%        |
|          Active Max          |   445909   |       0        |        0.00%        |
|          Active Min          |   445909   |       0        |        0.00%        |
|          Idle Mean           |   445909   |       0        |        0.00%        |
|           Idle Std           |   445909   |       0        |        0.00%        |
|           Idle Max           |   445909   |       0        |        0.00%        |
|           Idle Min           |   445909   |       0        |        0.00%        |
|             Label            |   445909   |       0        |        0.00%        |
+------------------------------+------------+----------------+---------------------+
