service,count
http,40338
private,21853
domain_u,9043
smtp,7313
ftp_data,6860
eco_i,4586
other,4359
ecr_i,3077
telnet,2353
finger,1767
ftp,1754
auth,955
Z39_50,862
uucp,780
courier,734
bgp,710
whois,693
uucp_path,689
iso_tsap,687
time,654
imap4,647
nnsp,630
vmnet,617
urp_i,602
domain,569
ctf,563
csnet_ns,545
supdup,544
discard,538
http_443,530
daytime,521
gopher,518
efs,485
systat,477
link,475
exec,474
hostnames,460
name,451
mtp,439
echo,434
klogin,433
login,429
ldap,410
netbios_dgm,405
sunrpc,381
netbios_ssn,362
netstat,360
netbios_ns,347
ssh,311
kshell,299
nntp,296
pop_3,264
sql_net,245
IRC,187
ntp_u,168
rje,86
remote_job,78
pop_2,78
X11,73
printer,69
shell,65
urh_i,10
tim_i,8
red_i,8
pm_dump,5
tftp_u,3
http_8001,2
aol,2
harvest,2
http_2784,1
